x, y
51.97039,0.979328
52.094427,0.668408
52.038683,0.730226
51.966211,0.972091
52.102815,0.666893
51.956771,1.268376
51.996361,1.213605
51.978282,1.019392
51.968265,1.088246
51.976413,1.053112
52.077065,0.71663
51.956682,1.057899
52.046763,0.957949
52.09181,0.871471
52.028751,0.743908
52.037694,0.855736
51.968086,1.114167
52.097693,0.667931
52.040323,0.73088
52.000502,0.848865
51.978461,1.021866
52.04129,0.734118
52.108245,0.90799
52.027024,0.744328
52.07869,0.717911
52.038408,0.747475
52.041394,0.729677
52.040573,0.727833
52.030727,1.148689
52.169493,0.801282
52.041098,0.728083
52.00829,1.019169
52.022268,0.95604
51.989187,1.206871
52.075191,0.891684
52.080338,1.00088
52.005746,1.197606
51.97531,1.05611
51.95676,1.275217
52.008164,0.816358
52.037454,0.730107
51.968224,0.972501
51.985359,1.156531
51.970645,0.873238
52.036334,0.72718
52.10906,0.796702
51.990847,0.894023
52.04283,0.727868
52.050935,1.097901
52.059961,0.91629
52.028706,0.895637
52.040169,0.732839
52.022208,0.746044
52.037879,1.087183
52.143674,0.737318
51.990168,1.070262
52.096944,0.827294
52.105839,0.792936
52.045618,0.959156
52.094427,0.668408
52.007232,0.902119
52.038603,0.732496
51.98335,1.158283
52.071054,0.760512
51.988456,0.89582
52.140441,0.679212
52.041752,0.744457
52.028753,0.859875
52.043575,0.954179
52.076134,0.716836
52.049431,1.044889
52.10844,0.795509
51.968635,1.183065
52.14215,0.790064
52.044443,0.953624
51.970665,1.127116
51.985543,0.846385
52.066062,0.710986
52.095762,0.889729
52.104021,0.909672
51.971613,1.011503
51.969177,1.251383
52.076991,0.718655
52.043843,0.954984
52.033264,0.790275
52.03985,0.732251
52.117918,0.838059
52.079464,0.718659
52.155084,0.726146
52.071343,0.803493
52.059864,0.777825
52.00155,1.055231
52.001534,1.110762
52.048066,0.844481
52.06254,1.094721
51.971873,0.77561
51.96825,1.030381
52.039777,0.727638
51.98959,1.099868
52.103269,0.954386
51.627637,0.418449
51.586173,0.444311
51.572663,0.487228
51.586077,0.476787
51.570643,0.457173
51.589844,0.484038
51.586077,0.476787
51.568847,0.456629
51.56876,0.530525
51.627905,0.418941
51.622508,0.400637
51.571928,0.431784
51.574281,0.51673
51.614357,0.518759
51.605537,0.510285
51.563957,0.445341
51.626986,0.419036
51.582728,0.463267
51.559032,0.458898
51.585137,0.462458
51.557137,0.504689
51.589844,0.484038
51.583619,0.460659
51.590444,0.52711
51.611579,0.508235
51.569253,0.395232
51.586077,0.476787
51.57863,0.476801
51.578629,0.4768
51.574825,0.459304
51.574973,0.510924
51.6007,0.519852
51.552801,0.421272
51.57949,0.471824
51.632247,0.40725
51.627254,0.418689
51.582342,0.486703
51.568428,0.453013
51.609778,0.438371
51.569503,0.456649
51.563617,0.463301
51.589844,0.484038
51.568428,0.453013
51.624762,0.416563
51.620399,0.415753
51.617808,0.528081
51.608511,0.533833
51.557696,0.450545
51.648554,0.414575
51.613317,0.518197
51.566237,0.517368
51.605394,0.40151
51.574281,0.51673
51.62506,0.418226
51.582349,0.492276
51.626224,0.41846
51.611697,0.520346
51.607056,0.412141
51.570654,0.45749
51.637347,0.413734
51.576369,0.418801
51.582728,0.463267
51.574377,0.423342
51.583789,0.512911
51.588449,0.438644
51.572508,0.441052
51.585137,0.462459
51.627905,0.418941
51.626851,0.426904
51.614445,0.522203
51.580328,0.496827
51.565172,0.467585
51.585137,0.462458
51.561879,0.493161
51.601813,0.535829
51.616963,0.526416
51.568013,0.491491
51.568922,0.423629
52.124672,-0.487429
52.127946,-0.498772
52.139699,-0.468084
52.137253,-0.465304
52.13707,-0.467809
52.137564,-0.468494
52.138476,-0.470873
52.165798,-0.484646
52.245405,-0.557751
52.158962,-0.44295
52.140104,-0.46053
52.133594,-0.465371
52.140104,-0.46053
52.136174,-0.466686
52.128793,-0.413089
52.130132,-0.55572
52.141741,-0.50956
52.138466,-0.466607
52.075717,-0.448869
52.144458,-0.473854
52.141191,-0.471526
52.100327,-0.540433
52.13632,-0.475141
52.201417,-0.397816
52.231557,-0.563545
52.136573,-0.466263
52.256083,-0.389225
52.13658,-0.450277
52.132289,-0.465957
52.137924,-0.465047
52.095965,-0.52878
52.252615,-0.477529
52.16498,-0.503652
52.14053,-0.447729
52.187596,-0.606667
52.236281,-0.608893
52.125629,-0.470291
52.136824,-0.46548
52.137145,-0.45429
52.13647,-0.472155
52.114645,-0.507704
